0,21.4023,0.116968
-5.56338e-17,23.3761,-0.556672
0.0125105,25.2472,-0.744773
-0.0190337,28.4043,-0.27049
0.0151432,29.8389,-0.81636
0.590902,27.3271,-1.30493
2.01172,27.8695,0.286002
2.65387,25.652,-0.0890009
3.4499,25.7825,-2.10866
3.58839,26.0213,-2.49299
3.642,26.2614,-2.77149
3.59942,26.3263,-3.14797
3.96878,26.0449,-2.99708
3.61592,26.0167,-3.25624
3.19942,26.0565,-3.15228
3.9785,25.8346,-2.98098
3.64626,25.7887,-3.33763
3.21068,25.833,-3.20712
4.00543,25.6085,-2.96889
3.72546,25.5738,-3.24306
3.39493,25.5987,-3.09311
3.94402,25.4036,-2.96612
3.72794,25.3672,-3.18883
3.45015,25.3817,-3.10838
-0.486604,27.3271,-1.37659
-2.1056,27.8695,0.0121619
-2.86043,26.0368,1.25389
-3.22318,24.3152,-0.0244656
-3.09766,24.0004,-0.354668
-2.93538,23.7969,-0.619853
-2.75321,23.4861,-0.753966
-3.28407,23.5883,-0.79604
-3.1826,23.1908,-0.640673
-3.01785,23.1708,-0.242828
-3.46559,23.5783,-0.688612
-3.38261,23.1045,-0.597162
-3.21628,23.1026,-0.171626
-3.66966,23.5655,-0.587791
-3.59742,23.1894,-0.497756
-3.49745,23.2247,-0.149693
-3.80773,23.5291,-0.42846
-3.73251,23.2533,-0.302298
-3.63482,23.2689,-0.0301553
1.48672,20.1581,0.366017
1.48879,16.4518,2.61042
1.96365,13.8922,7.08147
1.86545,11.8461,7.79631
-1.48672,20.1581,0.366017
-1.54707,16.495,-1.94743
-1.9616,11.4708,-3.11036
-1.87739,10.3695,-4.97781
