cube,0_0_0,55_1_55,0_0_0,Untagged,Object
cube,3_5_-8,10_9_3,0_0_0,Untagged,Object
cube,6_5_6,4_9_3,0_0_0,Untagged,Object
cube,6_5_-1,4_9_3,0_0_0,Untagged,Object
cube,-8_5_-1,4_9_3,0_0_0,Untagged,Object
cube,-8_5_-8,4_9_3,0_0_0,Untagged,Object
cube,-5_5_6,10_9_3,0_0_0,Untagged,Object
cube,-19_2_5,6_3_7,0_0_0,Untagged,Object
cube,-1_2_18,5_3_6,0_90_0,Untagged,Object
cube,-21_3_17,4_5_6,0_0_0,Untagged,Object
cube,-9_3_-18,6_5_8,0_0_0,Untagged,Object
cube,21_3_-18,6_5_6,0_180_0,Untagged,Object
cube,18_3_16,8_5_6,0_0_0,Untagged,Object
cube,-19_2_-19,10_3_6,0_90_0,Untagged,Object
cube,18_2_-6,8_3_6,0_90_0,Untagged,Object
cube,12_3_-19,9_5_4,0_270_0,Untagged,Object
cube,7_3_18,5_5_9,0_0_0,Untagged,Object
cube,2_4_-18,5_7_9,0_90_0,Untagged,Object
cube,-12_4_19,8_7_8,0_90_0,Untagged,Object
cube,-21_3_-7,7_5_8,0_180_0,Untagged,Object
cube,19_4_5,5_7_10,0_90_0,Untagged,Object
cube,28_2_0,55_5_1,0_90_0,Untagged,Object
cube,-28_2_0,55_5_1,0_90_0,Untagged,Object
cube,0_2_28,1_5_57,0_90_0,Untagged,Object
cube,0_2_-28,1_5_57,0_90_0,Untagged,Object
player,0_2_0,0.5_0.5_0.5,0_0_0,Untagged,0,Chara
mob,-10_1_-23,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,25_1_-23,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,18_1_20,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,12_1_10,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-1_1_22,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-5_1_10,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-23_1_-16,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-23_1_6,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,22_1_-6,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-24_1_22,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,3_1_-12,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
mob,-13_1_-12,0.5_0.5_0.5,0_0_0,Enemy,0,Chara
