cube,0_0_0,55_1_55,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,0_2_28,1_5_57,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-28_2_0,55_5_1,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,0_2_-28,1_5_57,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,28_2_0,55_5_1,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,3_5_-8,10_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,6_5_-1,4_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,6_5_6,4_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-5_5_6,10_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-8_5_-1,4_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-8_5_-8,4_9_3,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-9_3_-18,6_5_8,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,2_4_-18,5_7_9,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,12_3_-19,9_5_4,0_270_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,21_3_-18,6_5_6,0_180_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,18_2_-6,8_3_6,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,19_4_5,5_7_10,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,18_3_16,8_5_6,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,7_3_18,5_5_9,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-1_2_18,5_3_6,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-12_4_19,8_7_8,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-21_3_17,4_5_6,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-19_2_5,6_3_7,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-21_3_-7,7_5_8,0_180_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
cube,-19_2_-19,10_3_6,0_90_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
player,0_2_0,0.5_0.5_0.5,0_0_0,Untagged,0,Chara,name_position_scale_rotation_tag_hp_type_
pointer,-26.9_0_-26.14,1_1_1,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
pointer,27_0_-26.4,1_1_1,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
pointer,26.2_0_26.3,1_1_1,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
pointer,-26.53_0_25.76,1_1_1,0_0_0,Untagged,true,Object,name_position_scale_rotation_tag_collision_type_
mob,-13_1_-12,0.5_0.5_0.5,0_0_0,Untagged,0,Chara,name_position_scale_rotation_tag_hp_type_
mob,12_1_10,0.5_0.5_0.5,0_0_0,Untagged,0,Chara,name_position_scale_rotation_tag_hp_type_
